row_number;col_a;col_b;ingestion_action;target_metric_or_metrics;import_as_source;layer;note;
42;Кол-во из-за дефицита актёров/ мастеров;;add_metric;;no;exclude;Причинная детализация отмен, не отдельная canonical metric сейчас.;
43;Кол-во из-за спецпоказов;;add_metric;;no;exclude;Причинная детализация отмен, не отдельная canonical metric сейчас.;
44;Проведено шоу СД;;map_to_metric;Number of shows;yes;source;Observed shows metric.;
45;Отменено СД;;map_to_metric;Number of shows cancelled;yes;source;Observed cancellation metric.;
46;Кол-во, где не выкуплены билеты;;add_metric;;no;exclude;Причинная детализация отмен, не отдельная canonical metric сейчас.;
47;Кол-во из-за спецпоказов;;add_metric;;no;exclude;Причинная детализация отмен, не отдельная canonical metric сейчас.;
48;Кол-во из-за дефицита актёров/ мастеров;;add_metric;;no;exclude;Причинная детализация отмен, не отдельная canonical metric сейчас.;
49;Зрители (без СД);36;map_to_metric;Number of show visitors;yes;source;Observed visitors metric.;
50;Зрители СД;;map_to_metric;Number of show visitors;yes;source;Observed visitors metric.;
51;Зрители по сертификатам;;map_to_metric;Number of certificate visitors;yes;source;Observed visitors metric.;
52;Средняя загрузка шоу;3,27;defer_to_calculated;;no;calculated;Calculated layer.;
53;Средняя загрузка СД;;defer_to_calculated;;no;calculated;Calculated layer.;
54;;;blank;;no;exclude;Пустая строка-разделитель.;
55;ОТЗЫВЫ НА ЯНДЕКСЕ;;decompose_block;Quality - External;no;exclude;Block header.;
56;Кол-во новых на Яндекс-картах;;add_metric;Quality - External;yes;source;Observed external quality metric.;
57;Из них настоящих;;add_metric;Quality - External;yes;source;Observed external quality metric.;
58;Из них ненастоящих;;add_metric;Quality - External;yes;source;Observed external quality metric.;
59;Средняя оценка по отзывам за неделю (общая);;add_metric;Quality - External;yes;source;Observed external quality metric.;
60;Средняя оценка по отзывам за неделю (по настоящим);;add_metric;Quality - External;yes;source;Observed external quality metric.;
61;Процент негативных (от посетивших);;add_metric;Quality - External;yes;source;Observed external quality metric.;
62;Ликвидировано негативных;;add_metric;Quality - External;yes;source;Observed external quality metric.;
63;Средняя оценка за неделю без негативных, если ликвидировали (общая);;add_metric;Quality - External;yes;source;Observed external quality metric.;
64;Средняя общая;;add_metric;Quality - External;yes;source;Observed external quality metric.;
65;ОЦЕНКИ НА ПЛАНШЕТЕ;;decompose_block;Quality - Internal;no;exclude;Block header.;
66;Процент заполнивших от всех зрителей;;Change_source_to_ERP, defer to calculated;Quality - Internal;yes;source;Observed internal quality metric.;
67;Средняя оценка;;Change_source_to_ERP, defer to calculated;Quality - Internal;yes;source;Observed internal quality metric.;
68;Ответ Гиппократа;;Change_source_to_ERP;Quality - Internal;yes;source;Observed internal quality metric.;
69;22’07;;Change_source_to_ERP;Quality - Internal;yes;source;Observed internal quality metric.;
70;До свадьбы доживет;;Change_source_to_ERP;Quality - Internal;yes;source;Observed internal quality metric.;
71;Загадка амулета;;Change_source_to_ERP;Quality - Internal;yes;source;Observed internal quality metric.;
72;ВДОХ;;Change_source_to_ERP;Quality - Internal;yes;source;Observed internal quality metric.;
73;Судный день;;Change_source_to_ERP;Quality - Internal;yes;source;Observed internal quality metric.;
74;Откуда пришли;;Change_source_to_ERP;Source share;yes;source;Observed source-share metric.;
75;От друзей;;Change_source_to_ERP;Source share;yes;source;Observed source-share metric.;
76;Наш сайт;;Change_source_to_ERP;Source share;yes;source;Observed source-share metric.;
77;Яндекс Афиша;;Change_source_to_ERP;Source share;yes;source;Observed source-share metric.;
78;Карты Яндекс, Google, 2ГИС;;Change_source_to_ERP;Source share;yes;source;Observed source-share metric.;
79;Уже был;;Change_source_to_ERP;Source share;yes;source;Observed source-share metric.;
80;Подарили сертификат;;Change_source_to_ERP;Source share;yes;source;Observed source-share metric.;
81;Другое;;Change_source_to_ERP;Source share;yes;source;Observed source-share metric.;
82;Афиша.ру (+Т-банк);;Change_source_to_ERP;Source share;yes;source;Observed source-share metric.;
83;Google поиск;;Change_source_to_ERP;Source share;yes;source;Observed source-share metric.;
84;Яндекс поиск;;Change_source_to_ERP;Source share;yes;source;Observed source-share metric.;
85;Яндекс реклама (РЕКЛАМА В ИНЕТЕ);;Change_source_to_ERP;Source share;yes;source;Observed source-share metric.;
86;Instagram (СОЦ СЕТИ);;Change_source_to_ERP;Source share;yes;source;Observed source-share metric.;
87;Kuda Spb;;Change_source_to_ERP;Source share;yes;source;Observed source-share metric.;
88;Kuda go;;Change_source_to_ERP;Source share;yes;source;Observed source-share metric.;
89;Иммерсивный.ру;;Change_source_to_ERP;Source share;yes;source;Observed source-share metric.;
90;ВК;;Change_source_to_ERP;Source share;yes;source;Observed source-share metric.;
91;Сервис Best Benefits;;Change_source_to_ERP;Source share;yes;source;Observed source-share metric.;
92;Тикетленд;;Change_source_to_ERP;Number of tickets;yes;source;Partner split for tickets.;
93;ОКК;;decompose_block;Quality - Internal;no;exclude;Block header.;
94;Кол-во отсмотренных спектаклей;;add_metric;Quality - Internal;yes;source;Observed internal quality metric.;
95;Процент без нарушений от отсмотренных;;add_metric;Quality - Internal;yes;source;Observed internal quality metric.;
96;Кол-во отсмотренных ОГ;;add_metric;Quality - Internal;yes;source;Observed internal quality metric.;
97;Процент отсмотренных от общего кол-ва ОГ;;defer_to_calculated;Quality - Internal;yes;source;Observed internal quality metric.;
98;Процент ОГ, где зрители вышли за фельдшером;;map_to_metric;Share of OG where viewers went for paramedic and survived;yes;source;Observed internal quality metric.;
99;Процент с убийствами;;map_to_metric;Share of OG with murders;yes;source;Observed internal quality metric.;
100;С убийствами больше 1;;map_to_metric;Share of OG with more than one murder;yes;source;Observed internal quality metric.;
101;С 1 убийством;;map_to_metric;Share of OG with one murder;yes;source;Observed internal quality metric.;
102;Кол-во убийств;;map_to_metric;Number of deaths on OG;yes;source;Observed internal quality metric.;
103;Ник;;exclude;;no;exclude;Нужно руками уточнить интерпретацию.;
104;Алина;;exclude;;no;exclude;Нужно руками уточнить интерпретацию.;
105;Даня Рагин;;exclude;;no;exclude;Нужно руками уточнить интерпретацию.;
106;Даня Богомолов;;exclude;;no;exclude;Нужно руками уточнить интерпретацию.;
107;Женя Аршинов;;exclude;Share killed of total viewers passed through master on OG;no;exclude;Нужно руками уточнить интерпретацию.;
108;Влад;;exclude;Share of OG with deaths on paramedic;no;exclude;Нужно руками уточнить интерпретацию.;
109;Влад Подольский;;exclude;;no;exclude;Нужно руками уточнить интерпретацию.;
110;Саша Шеина;;exclude;Share of OG where viewers did not go for paramedic and did not survive;no;exclude;Нужно руками уточнить интерпретацию.;
111;Олег;;exclude;;no;exclude;Нужно руками уточнить интерпретацию.;
112;процент от общего кол-ва зрителей (из отсмотренных спектаклей);;defer_to_calculated;;no;calculated;Ratio / calculated metric.;
113;ПРОТОКОЛ-БОТ NEW;;decompose_block;Quality - Internal;no;exclude;Block header.;
114;Процент заполненных протоколов ПОСЛЕ спектакля;;defer_to_calculated;Quality - Internal;yes;source;Observed internal quality metric.;
115;Всего заполненных ОГ;;add_metric;Quality - Internal;yes;source;Observed internal quality metric.;
116;Процент от общего количества ОГ;;defer_to_calculated;Quality - Internal;yes;source;Observed internal quality metric.;
117;Из них;;map_to_metric;Quality - Internal;yes;source;Observed internal quality metric.;
118;Процент ОГ с убийствами;;map_to_metric;Share of OG with murders;yes;source;Observed ratio metric.;
119;Процент ОГ с убийствами больше 1;;map_to_metric;Share of OG with more than one murder;yes;source;Observed ratio metric.;
120;Процент ОГ с 1 убийством;;map_to_metric;Share of OG with one murder;yes;source;Observed ratio metric.;
121;Количество погибших всего на ОГ;;map_to_metric;Number of deaths on OG;yes;source;Observed incident metric.;
122;Процент убитых от общего кол-ва зрителей, прошедших через мастера на ог;;map_to_metric;Share killed of total viewers passed through master on OG;yes;source;Observed ratio metric.;
123;Процент ОГ, где зрители вышли за фельдшером/ выжили;;map_to_metric;Share of OG where viewers went for paramedic and survived;yes;source;Observed ratio metric.;
124;Процент ОГ, где зрители не вышли за фельдшером/ не выжили;;map_to_metric;Share of OG where viewers did not go for paramedic and did not survive;yes;source;Observed ratio metric.;
