metric_name,business_unit_scope,show_scope,partner_scope,channel_scope,source_system,source_label,minimal_frequency,availability_status,credibility,source_row_ref
Cost article - Доставка,general,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Другое,b2b,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Другое,b2c_moscow,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Другое,b2c_spb,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Другое,franchise,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Другое,general,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Другое ФОТ,b2b,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Другое ФОТ,b2c_moscow,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Другое ФОТ,b2c_spb,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Другое ФОТ,franchise,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Другое ФОТ,general,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Ежемесячные счета,b2b,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Ежемесячные счета,b2c_moscow,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Ежемесячные счета,b2c_spb,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Ежемесячные счета,franchise,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Ежемесячные счета,general,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - КОМИССИИ БАНКОВ,b2b,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - КОМИССИИ БАНКОВ,b2c_moscow,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - КОМИССИИ БАНКОВ,b2c_spb,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - КОМИССИИ БАНКОВ,franchise,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - КОМИССИИ БАНКОВ,general,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Командировочные,b2b,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Командировочные,b2c_moscow,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Командировочные,b2c_spb,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Командировочные,franchise,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Командировочные,general,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Комиссия,b2b,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Комиссия,b2c_moscow,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Комиссия,b2c_spb,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Комиссия,franchise,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Комиссия,general,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Корпоративы ЗП проектные,b2b,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Корпоративы ЗП проектные,b2c_moscow,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Корпоративы ЗП проектные,b2c_spb,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Корпоративы ЗП проектные,franchise,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Корпоративы ЗП проектные,general,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Корпоративы фикс,b2b,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Корпоративы фикс,b2c_moscow,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Корпоративы фикс,b2c_spb,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Корпоративы фикс,franchise,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Корпоративы фикс,general,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Курсовая разница (-),b2b,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Курсовая разница (-),b2c_moscow,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Курсовая разница (-),b2c_spb,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Курсовая разница (-),franchise,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Курсовая разница (-),general,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Маркетинг и реклама,b2b,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Маркетинг и реклама,b2c_moscow,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Маркетинг и реклама,b2c_spb,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Маркетинг и реклама,franchise,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Маркетинг и реклама,general,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Мебель и предметы интерьера,b2b,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Мебель и предметы интерьера,b2c_moscow,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Мебель и предметы интерьера,b2c_spb,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Мебель и предметы интерьера,franchise,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Мебель и предметы интерьера,general,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Налог на прибыль (доходы),b2b,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Налог на прибыль (доходы),b2c_moscow,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Налог на прибыль (доходы),b2c_spb,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Налог на прибыль (доходы),franchise,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Налог на прибыль (доходы),general,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Нераспределенный расход,b2b,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Нераспределенный расход,b2c_moscow,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Нераспределенный расход,b2c_spb,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Нераспределенный расход,franchise,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Нераспределенный расход,general,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Отсмотр видео,b2b,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Отсмотр видео,b2c_moscow,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Отсмотр видео,b2c_spb,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Отсмотр видео,franchise,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Отсмотр видео,general,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Представительские,b2b,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Представительские,b2c_moscow,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Представительские,b2c_spb,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Представительские,franchise,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Представительские,general,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Премии административный персонал,b2b,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Премии административный персонал,b2c_moscow,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Премии административный персонал,b2c_spb,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Премии административный персонал,franchise,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Премии административный персонал,general,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Премии актёры,b2b,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Премии актёры,b2c_moscow,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Премии актёры,b2c_spb,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Премии актёры,franchise,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Премии актёры,general,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Премии управленч персонал,b2b,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Премии управленч персонал,b2c_moscow,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Премии управленч персонал,b2c_spb,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Премии управленч персонал,franchise,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Премии управленч персонал,general,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Проживание,b2b,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Проживание,b2c_moscow,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Проживание,b2c_spb,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Проживание,franchise,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Проживание,general,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Проценты по кредитам и займам,b2b,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Проценты по кредитам и займам,b2c_moscow,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Проценты по кредитам и займам,b2c_spb,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Проценты по кредитам и займам,franchise,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Проценты по кредитам и займам,general,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Расходники (офисные),b2b,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Расходники (офисные),b2c_moscow,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Расходники (офисные),b2c_spb,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Расходники (офисные),franchise,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Расходники (офисные),general,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Расходы на B2B (продакшн),b2b,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Расходы на B2B (продакшн),b2c_moscow,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Расходы на B2B (продакшн),b2c_spb,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Расходы на B2B (продакшн),franchise,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Расходы на B2B (продакшн),general,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Реквизит/костюмы,b2b,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Реквизит/костюмы,b2c_moscow,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Реквизит/костюмы,b2c_spb,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Реквизит/костюмы,franchise,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Реквизит/костюмы,general,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Ремонт и обслуживание,b2b,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Ремонт и обслуживание,b2c_moscow,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Ремонт и обслуживание,b2c_spb,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Ремонт и обслуживание,franchise,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Ремонт и обслуживание,general,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Ремонт/Стройка/Стройматериалы,b2b,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Ремонт/Стройка/Стройматериалы,b2c_moscow,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Ремонт/Стройка/Стройматериалы,b2c_spb,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Ремонт/Стройка/Стройматериалы,franchise,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Ремонт/Стройка/Стройматериалы,general,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Свет/Мебель/Предметы интерьера,b2b,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Свет/Мебель/Предметы интерьера,b2c_moscow,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Свет/Мебель/Предметы интерьера,b2c_spb,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Свет/Мебель/Предметы интерьера,franchise,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Свет/Мебель/Предметы интерьера,general,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Страховые взносы,b2b,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Страховые взносы,b2c_moscow,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Страховые взносы,b2c_spb,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Страховые взносы,franchise,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Страховые взносы,general,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Такси,b2b,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Такси,b2c_moscow,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Такси,b2c_spb,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Такси,franchise,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Такси,general,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Тех оснащение,b2b,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Тех оснащение,b2c_moscow,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Тех оснащение,b2c_spb,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Тех оснащение,franchise,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Тех оснащение,general,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Техника,b2b,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Техника,b2c_moscow,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Техника,b2c_spb,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Техника,franchise,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Техника,general,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Транспорт,b2b,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Транспорт,b2c_moscow,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Транспорт,b2c_spb,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Транспорт,franchise,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Транспорт,general,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Уборка,b2b,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Уборка,b2c_moscow,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Уборка,b2c_spb,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Уборка,franchise,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Уборка,general,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Управленческий персонал ФОТ,b2b,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Управленческий персонал ФОТ,b2c_moscow,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Управленческий персонал ФОТ,b2c_spb,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Управленческий персонал ФОТ,franchise,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Управленческий персонал ФОТ,general,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Услуги типографии,b2b,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Услуги типографии,b2c_moscow,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Услуги типографии,b2c_spb,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Услуги типографии,franchise,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Cost article - Услуги типографии,general,general,,,planfact,PlanFact,month,available,,planfact_article_catalog_2026_05_01
Costs - Other (by articles),b2b,b2b_show_names,,,planfact,PlanFact,month,available,,refined_2026_05_01
Costs - Other (by articles),b2b,general,,,planfact,PlanFact,month,available,,refined_2026_05_01
Costs - Other (by articles),b2c_moscow,general,b2c_partner_names,marketing_channel_names,planfact,PlanFact,month,available,,57
Costs - Other (by articles),b2c_spb,general,b2c_partner_names,marketing_channel_names,planfact,PlanFact,month,available,,58
Costs - Other (by articles),general,general,,,,,month,unspecified,,61
Costs - Salary fixed,b2b,general,,,planfact,PlanFact,month,available,,refined_2026_05_01
Costs - Salary fixed,b2c_moscow,general,b2c_partner_names,marketing_channel_names,planfact,PlanFact,month,available,,53
Costs - Salary fixed,b2c_spb,general,b2c_partner_names,marketing_channel_names,planfact,PlanFact,month,available,,54
Costs - Salary fixed,general,general,,,,,month,unspecified,,56
Costs - Salary variable,b2b,b2b_show_names,,,airtable,Airtable,month,available,,refined_2026_05_01
Costs - Salary variable,b2b,general,,,aggregate,Агрегат,month,available,,refined_2026_05_01
Costs - Salary variable,b2c_moscow,b2c_show_names,b2c_partner_names,marketing_channel_names,erp,ERP,week,available,,47
Costs - Salary variable,b2c_moscow,general,b2c_partner_names,marketing_channel_names,aggregate,Агрегат,week,available,,48
Costs - Salary variable,b2c_moscow,general,b2c_partner_names,marketing_channel_names,planfact,PlanFact,month,available,,48
Costs - Salary variable,b2c_spb,b2c_show_names,b2c_partner_names,marketing_channel_names,erp,ERP,week,available,,49
Costs - Salary variable,b2c_spb,general,b2c_partner_names,marketing_channel_names,aggregate,Агрегат,week,available,,50
Costs - Salary variable,b2c_spb,general,b2c_partner_names,marketing_channel_names,planfact,PlanFact,month,available,,50
Marketing costs,b2b,,,marketing_channel_names,yandex_direct,Яндекс.Директ,week,available,,refined_2026_05_01
Marketing costs,b2b,,,marketing_channel_names,yandex_metrica,Яндекс.Метрика,week,available,,refined_2026_05_01
Marketing costs,b2c_moscow,,,marketing_channel_names,yandex_direct,Яндекс.Директ,week,available,,refined_2026_05_01
Marketing costs,b2c_moscow,,,marketing_channel_names,yandex_metrica,Яндекс.Метрика,week,available,,refined_2026_05_01
Marketing costs,b2c_spb,,,marketing_channel_names,yandex_direct,Яндекс.Директ,week,available,,refined_2026_05_01
Marketing costs,b2c_spb,,,marketing_channel_names,yandex_metrica,Яндекс.Метрика,week,available,,refined_2026_05_01
Number of cancelled SD shows - actor/master shortage,b2c_moscow,general,general,general,manual_table,Таблица,week,available,,live_add_metric_moscow_50
Number of cancelled SD shows - no tickets sold,b2c_moscow,general,general,general,manual_table,Таблица,week,available,,live_add_metric_moscow_48
Number of cancelled SD shows - special shows,b2c_moscow,general,general,general,manual_table,Таблица,week,available,,live_add_metric_moscow_49
Number of cancelled non-SD shows - actor/master shortage,b2c_moscow,general,general,general,manual_table,Таблица,week,available,,live_add_metric_moscow_45
Number of cancelled non-SD shows - actor/master shortage,b2c_spb,general,general,general,manual_table,Таблица,week,available,,live_add_metric_spb_42|live_add_metric_spb_48
Number of cancelled non-SD shows - no tickets sold,b2c_moscow,general,general,general,manual_table,Таблица,week,available,,live_add_metric_moscow_43
Number of cancelled non-SD shows - no tickets sold,b2c_spb,general,general,general,manual_table,Таблица,week,available,,live_add_metric_spb_41|live_add_metric_spb_46
Number of cancelled non-SD shows - special shows,b2c_moscow,general,general,general,manual_table,Таблица,week,available,,live_add_metric_moscow_44
Number of cancelled non-SD shows - special shows,b2c_spb,general,general,general,manual_table,Таблица,week,available,,live_add_metric_spb_43|live_add_metric_spb_47
Number of certificates,b2c_moscow,general,b2c_partner_names,marketing_channel_names,manual_table,Таблица,week,available,,23
