metric_key,metric_name,metric_family,value_kind,description,legacy_mapping_status,legacy_groups_covered,legacy_groups_partial,legacy_group_count_covered,legacy_group_count_partial,legacy_notes_summary
cost_article_expense_rashody_pomeschenie_i_ofis_arenda_i_kommunalka,Cost article - Аренда и коммуналка,costs_article,currency,PlanFact monthly expense article: expense/Расходы/Помещение и офис/Аренда и коммуналка,created_from_planfact_article,,,0,0,Created from PlanFact expense article catalog
cost_article_expense_rashody_vozvraty,Cost article - Возвраты,costs_article,currency,PlanFact monthly expense article: expense/Расходы/Возвраты,created_from_planfact_article,,,0,0,Created from PlanFact expense article catalog
cost_article_expense_rashody_logistika_dostavka,Cost article - Доставка,costs_article,currency,PlanFact monthly expense article: expense/Расходы/Логистика/Доставка,created_from_planfact_article,,,0,0,Created from PlanFact expense article catalog
cost_article_expense_rashody_drugoe,Cost article - Другое,costs_article,currency,PlanFact monthly expense article: expense/Расходы/Другое,created_from_planfact_article,,,0,0,Created from PlanFact expense article catalog
cost_article_expense_rashody_fot_drugoe_fot,Cost article - Другое ФОТ,costs_article,currency,PlanFact monthly expense article: expense/Расходы/ФОТ/Другое ФОТ,created_from_planfact_article,,,0,0,Created from PlanFact expense article catalog
cost_article_expense_rashody_pomeschenie_i_ofis_ezhemesyachnye_scheta,Cost article - Ежемесячные счета,costs_article,currency,PlanFact monthly expense article: expense/Расходы/Помещение и офис/Ежемесячные счета,created_from_planfact_article,,,0,0,Created from PlanFact expense article catalog
cost_article_expense_rashody_servisy_i_ih_nastroyka_komissii_bankov,Cost article - КОМИССИИ БАНКОВ,costs_article,currency,PlanFact monthly expense article: expense/Расходы/Сервисы и их настройка/КОМИССИИ БАНКОВ,created_from_planfact_article,,,0,0,Created from PlanFact expense article catalog
cost_article_expense_rashody_komandnye_komandirovochnye,Cost article - Командировочные,costs_article,currency,PlanFact monthly expense article: expense/Расходы/Командные/Командировочные,created_from_planfact_article,,,0,0,Created from PlanFact expense article catalog
cost_article_expense_rashody_agentskie_komissiya,Cost article - Комиссия,costs_article,currency,PlanFact monthly expense article: expense/Расходы/Агентские/Комиссия,created_from_planfact_article,,,0,0,Created from PlanFact expense article catalog
cost_article_expense_rashody_premii_2025_korporativy_zp_proektnye,Cost article - Корпоративы ЗП проектные,costs_article,currency,PlanFact monthly expense article: expense/Расходы/ПРЕМИИ 2025/Корпоративы ЗП проектные,created_from_planfact_article,,,0,0,Created from PlanFact expense article catalog
cost_article_expense_rashody_fot_korporativy_fiks,Cost article - Корпоративы фикс,costs_article,currency,PlanFact monthly expense article: expense/Расходы/ФОТ/Корпоративы фикс,created_from_planfact_article,,,0,0,Created from PlanFact expense article catalog
cost_article_expense_rashody_prochie_rashody_kursovaya_raznitsa,Cost article - Курсовая разница (-),costs_article,currency,PlanFact monthly expense article: expense/Расходы/Прочие расходы/Курсовая разница (-),created_from_planfact_article,,,0,0,Created from PlanFact expense article catalog
cost_article_expense_rashody_marketing_i_reklama,Cost article - Маркетинг и реклама,costs_article,currency,PlanFact monthly expense article: expense/Расходы/Маркетинг и реклама,created_from_planfact_article,,,0,0,Created from PlanFact expense article catalog
cost_article_expense_rashody_pomeschenie_i_ofis_mebel_i_predmety_interera,Cost article - Мебель и предметы интерьера,costs_article,currency,PlanFact monthly expense article: expense/Расходы/Помещение и офис/Мебель и предметы интерьера,created_from_planfact_article,,,0,0,Created from PlanFact expense article catalog
cost_article_expense_rashody_prochie_rashody_nalog_na_pribyl_dohody,Cost article - Налог на прибыль (доходы),costs_article,currency,PlanFact monthly expense article: expense/Расходы/Прочие расходы/Налог на прибыль (доходы),created_from_planfact_article,,,0,0,Created from PlanFact expense article catalog
cost_article_expense_rashody_neraspredelennyy_rashod,Cost article - Нераспределенный расход,costs_article,currency,PlanFact monthly expense article: expense/Расходы/Нераспределенный расход,created_from_planfact_article,,,0,0,Created from PlanFact expense article catalog
cost_article_expense_rashody_servisy_i_ih_nastroyka_otsmotr_video,Cost article - Отсмотр видео,costs_article,currency,PlanFact monthly expense article: expense/Расходы/Сервисы и их настройка/Отсмотр видео,created_from_planfact_article,,,0,0,Created from PlanFact expense article catalog
cost_article_expense_rashody_komandnye_predstavitelskie,Cost article - Представительские,costs_article,currency,PlanFact monthly expense article: expense/Расходы/Командные/Представительские,created_from_planfact_article,,,0,0,Created from PlanFact expense article catalog
cost_article_expense_rashody_premii_2025_premii_administrativnyy_personal,Cost article - Премии административный персонал,costs_article,currency,PlanFact monthly expense article: expense/Расходы/ПРЕМИИ 2025/Премии административный персонал,created_from_planfact_article,,,0,0,Created from PlanFact expense article catalog
cost_article_expense_rashody_premii_2025_premii_aktery,Cost article - Премии актёры,costs_article,currency,PlanFact monthly expense article: expense/Расходы/ПРЕМИИ 2025/Премии актёры,created_from_planfact_article,,,0,0,Created from PlanFact expense article catalog
cost_article_expense_rashody_premii_2025_premii_upravlench_personal,Cost article - Премии управленч персонал,costs_article,currency,PlanFact monthly expense article: expense/Расходы/ПРЕМИИ 2025/Премии управленч персонал,created_from_planfact_article,,,0,0,Created from PlanFact expense article catalog
cost_article_expense_rashody_komandnye_prozhivanie,Cost article - Проживание,costs_article,currency,PlanFact monthly expense article: expense/Расходы/Командные/Проживание,created_from_planfact_article,,,0,0,Created from PlanFact expense article catalog
cost_article_expense_rashody_prochie_rashody_protsenty_po_kreditam_i_zaymam,Cost article - Проценты по кредитам и займам,costs_article,currency,PlanFact monthly expense article: expense/Расходы/Прочие расходы/Проценты по кредитам и займам,created_from_planfact_article,,,0,0,Created from PlanFact expense article catalog
cost_article_expense_rashody_pomeschenie_i_ofis_rashodniki_ofisnye,Cost article - Расходники (офисные),costs_article,currency,PlanFact monthly expense article: expense/Расходы/Помещение и офис/Расходники (офисные),created_from_planfact_article,,,0,0,Created from PlanFact expense article catalog
cost_article_expense_rashody_rashody_na_b2b_prodakshn,Cost article - Расходы на B2B (продакшн),costs_article,currency,PlanFact monthly expense article: expense/Расходы/Расходы на B2B (продакшн),created_from_planfact_article,,,0,0,Created from PlanFact expense article catalog
cost_article_expense_rashody_dlya_spektakley_rekvizit_kostyumy,Cost article - Реквизит/костюмы,costs_article,currency,PlanFact monthly expense article: expense/Расходы/Для спектаклей/Реквизит/костюмы,created_from_planfact_article,,,0,0,Created from PlanFact expense article catalog
cost_article_expense_rashody_pomeschenie_i_ofis_remont_i_obsluzhivanie,Cost article - Ремонт и обслуживание,costs_article,currency,PlanFact monthly expense article: expense/Расходы/Помещение и офис/Ремонт и обслуживание,created_from_planfact_article,,,0,0,Created from PlanFact expense article catalog
cost_article_expense_rashody_pereezd_remont_stroyka_stroymaterialy,Cost article - Ремонт/Стройка/Стройматериалы,costs_article,currency,PlanFact monthly expense article: expense/Расходы/ПЕРЕЕЗД/Ремонт/Стройка/Стройматериалы,created_from_planfact_article,,,0,0,Created from PlanFact expense article catalog
cost_article_expense_rashody_pereezd_svet_mebel_predmety_interera,Cost article - Свет/Мебель/Предметы интерьера,costs_article,currency,PlanFact monthly expense article: expense/Расходы/ПЕРЕЕЗД/Свет/Мебель/Предметы интерьера,created_from_planfact_article,,,0,0,Created from PlanFact expense article catalog
cost_article_expense_rashody_raznye_nalogi_i_vznosy_strahovye_vznosy,Cost article - Страховые взносы,costs_article,currency,PlanFact monthly expense article: expense/Расходы/Разные налоги и взносы/Страховые взносы,created_from_planfact_article,,,0,0,Created from PlanFact expense article catalog
cost_article_expense_rashody_logistika_taksi,Cost article - Такси,costs_article,currency,PlanFact monthly expense article: expense/Расходы/Логистика/Такси,created_from_planfact_article,,,0,0,Created from PlanFact expense article catalog
cost_article_expense_rashody_dlya_spektakley_teh_osnaschenie,Cost article - Тех оснащение,costs_article,currency,PlanFact monthly expense article: expense/Расходы/Для спектаклей/Тех оснащение,created_from_planfact_article,,,0,0,Created from PlanFact expense article catalog
cost_article_expense_rashody_pereezd_tehnika,Cost article - Техника,costs_article,currency,PlanFact monthly expense article: expense/Расходы/ПЕРЕЕЗД/Техника,created_from_planfact_article,,,0,0,Created from PlanFact expense article catalog
cost_article_expense_rashody_komandnye_transport,Cost article - Транспорт,costs_article,currency,PlanFact monthly expense article: expense/Расходы/Командные/Транспорт,created_from_planfact_article,,,0,0,Created from PlanFact expense article catalog
cost_article_expense_rashody_pomeschenie_i_ofis_uborka,Cost article - Уборка,costs_article,currency,PlanFact monthly expense article: expense/Расходы/Помещение и офис/Уборка,created_from_planfact_article,,,0,0,Created from PlanFact expense article catalog
cost_article_expense_rashody_fot_upravlencheskiy_personal_fot,Cost article - Управленческий персонал ФОТ,costs_article,currency,PlanFact monthly expense article: expense/Расходы/ФОТ/Управленческий персонал ФОТ,created_from_planfact_article,,,0,0,Created from PlanFact expense article catalog
cost_article_expense_rashody_uslugi_tipografii,Cost article - Услуги типографии,costs_article,currency,PlanFact monthly expense article: expense/Расходы/Услуги типографии,created_from_planfact_article,,,0,0,Created from PlanFact expense article catalog
account_balance,Account balance,finance,currency,Account balance / available cash,covered_and_partial,Средств на счете,Приход с депозита,1,1,"Related to cash/balance, but not a first-class metric in the new model. | Balance metric fits directly."
returns_amount,Returns amount,finance,currency,Amount of returns / refunds.,created_from_legacy_action,,,0,0,Created from explicit legacy action in db_metric_group_coverage_v2.csv
revenue,Revenue,finance,currency,Revenue / incoming cash depending on source,covered_and_partial,Поступления на счет - B2C,Поступления на счет; САЙТ; Сертификаты (продажи); Франшиза,1,4,"Main revenue concept is covered, but many legacy sub-lines are more detailed than the new model. | Direct revenue aggregate already fits the new model. | Core site metrics are covered, but this block also contains legacy special slices. | Certificate count/revenue are covered, but partner/channel decomposition is richer in legacy data. | Revenue exists in the new model, but legacy franchise group is too narrow and underspecified."
revenue_financial_operations,Revenue - Financial operations,finance,currency,Financial-operation inflows such as Приход с депозита.,created_from_legacy_action,,,0,0,Created from explicit legacy action in db_metric_group_coverage_v2.csv
revenue_other,Revenue - Other,finance,currency,Other revenue / miscellaneous inflows such as Другое юкасса.,created_from_legacy_action,,,0,0,Created from explicit legacy action in db_metric_group_coverage_v2.csv
marketing_costs,Marketing costs,marketing,currency,Advertising/marketing spend,covered,Маркетинг Каналы,,1,0,Weekly marketing cost block is already explicitly modeled.
number_of_certificate_visitors,Number of certificate visitors,operations,count,Visitors who came via certificates.,created_from_legacy_action,,,0,0,Created from explicit legacy action in db_metric_group_coverage_v2.csv
number_of_show_visitors,Number of show visitors,operations,count,Visitors who attended shows,covered_and_partial,Зрители дошедшие (без зрителей СД); Зрители дошедшие СД,Зрители по сертификатам; Сайт,2,2,"Attended visitors are covered. | Visitor concept is covered, but certificate-specific split is not modeled separately. | Core site metrics are covered, but legacy site block contains extra derived ratios."
number_of_shows,Number of shows,operations,count,Show count,covered_and_partial,Проведено СД; Проведено шоу (БЕЗ СД),Сайт,2,1,"Show count is covered. | Core site metrics are covered, but legacy site block contains extra derived ratios."
number_of_shows_cancelled,Number of shows cancelled,operations,count,Cancelled show count,covered_and_partial,Отменено СД; Отменено шоу (не СД),Сайт,2,1,"Cancelled show count is covered. | Core site metrics are covered, but legacy site block contains extra derived ratios."
scheduling_complexity,Scheduling complexity,operations,score,"Calculated scheduling complexity score, typically 1-5.",created_from_legacy_action,,,0,0,Created from explicit legacy action in db_metric_group_coverage_v2.csv
number_of_deaths_on_og,Number of deaths on OG,quality,count,Count of deaths / critical outcomes on OG.,created_from_legacy_action,,,0,0,Created from explicit legacy action in db_metric_group_coverage_v2.csv
number_of_post_show_survey_responses,Number of post-show survey responses,quality,count,Count of non-empty post-show audience survey responses.,added_for_erp_source_share,,,0,0,Needed as denominator / context metric for ERP-based source-share and external quality answers.
number_of_question_3_responses,Number of question 3 responses,quality,count,"Count of answers by category for post-show survey question 3, by show.",added_for_erp_satisfaction,,,0,0,ERP survey/satisfaction question 3 category counts by show; answer category stored in value_text/payload.
number_of_question_4_responses,Number of question 4 responses,quality,count,"Count of answers by category for post-show survey question 4, by show.",added_for_erp_satisfaction,,,0,0,ERP survey/satisfaction question 4 category counts by show; answer category stored in value_text/payload.
number_of_show_rating_responses,Number of show rating responses,quality,count,Count of non-empty post-show rating answers (question 1) by show.,added_for_erp_satisfaction,,,0,0,ERP survey/satisfaction question 1 count by show.
quality_external,Quality - External,quality,score_or_count,External quality / reviews / ratings,partial_only,,ОТЗЫВЫ; ОТЗЫВЫ НА ЯНДЕКСЕ; ФРАНШИЗА,0,3,"External quality is covered, but exact rating/review sub-metrics are richer in legacy data. | Franchise block is partially represented."
quality_internal,Quality - Internal,quality,score_or_count,Internal quality / process / QA metrics,partial_only,,"Количество погибших всего на ОГ; ОКК; ОЦЕНКИ НА ПЛАНШЕТЕ; ПРОТОКОЛ-БОТ; ПРОТОКОЛ-БОТ NEW; Процент ОГ с 1 убийством; Процент ОГ с убийствами; Процент ОГ с убийствами больше 1; Процент ОГ, где зрители вышли за фельдшером/ выжили; Процент ОГ, где зрители не вышли за фельдшером/ не выжили; Процент убитых от общего кол-ва зрителей, прошедших через мастера на ог",0,11,"Falls under internal quality/operations, but not yet modeled as a standalone metric family. | Internal QA is covered, but detailed operational sub-metrics are not normalized yet. | Internal quality is covered, but tablet feedback by show is more detailed than the new model. | Internal process quality is covered, but bot-specific sub-metrics are not normalized yet."
share_killed_of_total_viewers_through_master_on_og,Share killed of total viewers passed through master on OG,quality,ratio,Share of killed viewers among total viewers that passed through master on OG.,created_from_legacy_action,,,0,0,Created from explicit legacy action in db_metric_group_coverage_v2.csv
share_og_did_not_go_for_paramedic_and_did_not_survive,Share of OG where viewers did not go for paramedic and did not survive,quality,ratio,Share of OG sessions where viewers did not go for paramedic and did not survive.,created_from_legacy_action,,,0,0,Created from explicit legacy action in db_metric_group_coverage_v2.csv
share_og_went_for_paramedic_and_survived,Share of OG where viewers went for paramedic and survived,quality,ratio,Share of OG sessions where viewers went for paramedic and survived.,created_from_legacy_action,,,0,0,Created from explicit legacy action in db_metric_group_coverage_v2.csv
share_og_with_paramedic_deaths,Share of OG with deaths on paramedic,quality,ratio,Share of OG sessions with deaths on paramedic according to OKK logic.,created_from_legacy_action,,,0,0,Created from explicit legacy action in db_metric_group_coverage_v2.csv
share_og_with_more_than_one_murder,Share of OG with more than one murder,quality,ratio,Share of OG sessions with more than one murder.,created_from_legacy_action,,,0,0,Created from explicit legacy action in db_metric_group_coverage_v2.csv
share_og_with_murders,Share of OG with murders,quality,ratio,Share of OG sessions with murders.,created_from_legacy_action,,,0,0,Created from explicit legacy action in db_metric_group_coverage_v2.csv
share_og_with_one_murder,Share of OG with one murder,quality,ratio,Share of OG sessions with exactly one murder.,created_from_legacy_action,,,0,0,Created from explicit legacy action in db_metric_group_coverage_v2.csv
sum_of_post_show_ratings,Sum of post-show ratings,quality,score,Sum of numeric post-show ratings from question 1 by show.,added_for_erp_satisfaction,,,0,0,ERP survey/satisfaction question 1 numeric sum by show.
number_of_completed_og_protocols,Number of completed OG protocols,quality_internal,count,Number of completed OG protocols.,added_from_live_weekly_plan,,,0,0,Created from add_metric decisions in live weekly ingestion plans.
number_of_fines,Number of fines,quality_internal,count,Number of fines.,added_from_live_weekly_plan,,,0,0,Created from add_metric decisions in live weekly ingestion plans.
number_of_reviewed_ogs,Number of reviewed OGs,quality_internal,count,Number of reviewed OGs.,added_from_live_weekly_plan,,,0,0,Created from add_metric decisions in live weekly ingestion plans.
number_of_reviewed_shows,Number of reviewed shows,quality_internal,count,Number of reviewed shows.,added_from_live_weekly_plan,,,0,0,Created from add_metric decisions in live weekly ingestion plans.
number_of_show_removals,Number of show removals,quality_internal,count,Number of removals from shows.,added_from_live_weekly_plan,,,0,0,Created from add_metric decisions in live weekly ingestion plans.
number_of_warnings,Number of warnings,quality_internal,count,Number of warnings.,added_from_live_weekly_plan,,,0,0,Created from add_metric decisions in live weekly ingestion plans.
share_of_reviewed_shows_without_violations,Share of reviewed shows without violations,quality_internal,ratio,Share of reviewed shows without violations.,added_from_live_weekly_plan,,,0,0,Created from add_metric decisions in live weekly ingestion plans.
returns_amount_non_theater_fault,Returns amount - non-theater fault,returns,currency,Returns amount not caused by theater fault.,added_from_live_weekly_plan,,,0,0,Created from add_metric decisions in live weekly ingestion plans.
returns_amount_theater_fault,Returns amount - theater fault,returns,currency,Returns amount caused by theater fault.,added_from_live_weekly_plan,,,0,0,Created from add_metric decisions in live weekly ingestion plans.
average_review_rating_overall,Average review rating overall,reviews,score,Overall average review rating.,added_from_live_weekly_plan,,,0,0,Created from add_metric decisions in live weekly ingestion plans.
average_review_rating_weekly_genuine,Average review rating weekly genuine,reviews,score,"Average review rating for the week, genuine reviews only.",added_from_live_weekly_plan,,,0,0,Created from add_metric decisions in live weekly ingestion plans.
average_review_rating_weekly_overall,Average review rating weekly overall,reviews,score,"Average review rating for the week, all reviews.",added_from_live_weekly_plan,,,0,0,Created from add_metric decisions in live weekly ingestion plans.
average_review_rating_weekly_without_negatives_after_resolution,Average review rating weekly without negatives after resolution,reviews,score,Average review rating for the week excluding negatives after resolution.,added_from_live_weekly_plan,,,0,0,Created from add_metric decisions in live weekly ingestion plans.
number_of_genuine_reviews,Number of genuine reviews,reviews,count,Reviews considered genuine during the period.,added_from_live_weekly_plan,,,0,0,Created from add_metric decisions in live weekly ingestion plans.
number_of_new_yandex_maps_reviews,Number of new Yandex Maps reviews,reviews,count,New Yandex Maps reviews during the period.,added_from_live_weekly_plan,,,0,0,Created from add_metric decisions in live weekly ingestion plans.
number_of_non_genuine_reviews,Number of non-genuine reviews,reviews,count,Reviews considered non-genuine during the period.,added_from_live_weekly_plan,,,0,0,Created from add_metric decisions in live weekly ingestion plans.
number_of_resolved_negative_reviews,Number of resolved negative reviews,reviews,count,Number of negative reviews that were resolved.,added_from_live_weekly_plan,,,0,0,Created from add_metric decisions in live weekly ingestion plans.
share_of_negative_reviews_from_visitors,Share of negative reviews from visitors,reviews,ratio,Share of negative reviews from visitors.,added_from_live_weekly_plan,,,0,0,Created from add_metric decisions in live weekly ingestion plans.
number_of_concepts_sent,Number of concepts sent,sales_funnel,count,Leads that reached concept sent stage.,added_for_amocrm_weekly_flow,,,0,0,Added for amoCRM weekly flow stage tracking in the B2B funnel.
number_of_contacts_established,Number of contacts established,sales_funnel,count,Leads that reached contact established stage.,added_for_amocrm_weekly_flow,,,0,0,Added for amoCRM weekly flow stage tracking in the B2B funnel.
number_of_contracts_approved,Number of contracts approved,sales_funnel,count,Leads that reached contract approved stage.,added_for_amocrm_weekly_flow,,,0,0,Added for amoCRM weekly flow stage tracking in the B2B funnel.
number_of_contracts_sent,Number of contracts sent,sales_funnel,count,Leads that reached contract sent stage.,added_for_amocrm_weekly_flow,,,0,0,Added for amoCRM weekly flow stage tracking in the B2B funnel.
number_of_creative_meetings,Number of creative meetings,sales_funnel,count,Creative meetings count,partial_only,,КОРПОРАТИВЫ,0,1,"Lead funnel is covered, but current legacy labels do not map 1-to-1."
number_of_creative_meetings_scheduled,Number of creative meetings scheduled,sales_funnel,count,Leads that reached creative meeting scheduled stage.,added_for_amocrm_weekly_flow,,,0,0,Added for amoCRM weekly flow stage tracking in the B2B funnel.
number_of_leads,Number of leads,sales_funnel,count,Lead count,partial_only,,КОРПОРАТИВЫ; ФРАНШИЗА,0,2,"Lead funnel is covered, but current legacy labels do not map 1-to-1. | Franchise block is partially represented."
number_of_lost_leads,Number of lost leads,sales_funnel,count,Leads that were marked lost.,added_for_amocrm_weekly_flow,,,0,0,Added for amoCRM weekly flow stage tracking in the B2B funnel.
number_of_payments_received,Number of payments received,sales_funnel,count,Leads that reached payment received stage.,added_for_amocrm_weekly_flow,,,0,0,Added for amoCRM weekly flow stage tracking in the B2B funnel.
number_of_proposals_sent,Number of proposals sent,sales_funnel,count,Leads that reached proposal sent stage.,added_for_amocrm_weekly_flow,,,0,0,Added for amoCRM weekly flow stage tracking in the B2B funnel.
number_of_qualified_leads,Number of qualified leads,sales_funnel,count,Leads that reached qualified stage.,added_for_amocrm_weekly_flow,,,0,0,Added for amoCRM weekly flow stage tracking in the B2B funnel.
number_of_cancelled_sd_shows_actor_master_shortage,Number of cancelled SD shows - actor/master shortage,shows_cancelled_reason,count,Cancelled SD shows because of actor or master shortage.,added_from_live_weekly_plan,,,0,0,Created from add_metric decisions in live weekly ingestion plans.
number_of_cancelled_sd_shows_no_tickets_sold,Number of cancelled SD shows - no tickets sold,shows_cancelled_reason,count,Cancelled SD shows because tickets were not sold.,added_from_live_weekly_plan,,,0,0,Created from add_metric decisions in live weekly ingestion plans.
number_of_cancelled_sd_shows_special_shows,Number of cancelled SD shows - special shows,shows_cancelled_reason,count,Cancelled SD shows because of special shows.,added_from_live_weekly_plan,,,0,0,Created from add_metric decisions in live weekly ingestion plans.
number_of_cancelled_non_sd_shows_actor_master_shortage,Number of cancelled non-SD shows - actor/master shortage,shows_cancelled_reason,count,Cancelled non-SD shows because of actor or master shortage.,added_from_live_weekly_plan,,,0,0,Created from add_metric decisions in live weekly ingestion plans.
number_of_cancelled_non_sd_shows_no_tickets_sold,Number of cancelled non-SD shows - no tickets sold,shows_cancelled_reason,count,Cancelled non-SD shows because tickets were not sold.,added_from_live_weekly_plan,,,0,0,Created from add_metric decisions in live weekly ingestion plans.
number_of_cancelled_non_sd_shows_special_shows,Number of cancelled non-SD shows - special shows,shows_cancelled_reason,count,Cancelled non-SD shows because of special shows.,added_from_live_weekly_plan,,,0,0,Created from add_metric decisions in live weekly ingestion plans.
website_visits,Website visits,traffic,count,Site visits,partial_only,,САЙТ; Сайт,0,2,"Core site metrics are covered, but legacy site block contains extra derived ratios. | Core site metrics are covered, but this block also contains legacy special slices."
