section,parent_category,category_name,category_path,level,codex_initial_guess,upd_layer,upd_canonical_metric,upd_action,upd_note
Расходы,Помещение и офис,Уборка,Постоянные > Помещение и офис > Уборка,3,"Cost article - Уборка, Venue and office costs",,,,
Расходы,Помещение и офис,Мебель и предметы интерьера,Постоянные > Помещение и офис > Мебель и предметы интерьера,3,"Cost article - Мебель и предметы интерьера, Venue and office costs",,,,
Расходы,Помещение и офис,Ремонт и обслуживание,Постоянные > Помещение и офис > Ремонт и обслуживание,3,"Cost article - Ремонт и обслуживание, Venue and office costs",,,,
Расходы,Помещение и офис,Расходники (офисные),Постоянные > Помещение и офис > Расходники (офисные),3,"Cost article - Расходники (офисные), Venue and office costs",,,,
Расходы,Помещение и офис,Ежемесячные счета,Постоянные > Помещение и офис > Ежемесячные счета,3,"Cost article - Ежемесячные счета, Venue and office costs",,,,
Расходы,Помещение и офис,Аренда и коммуналка,Постоянные > Помещение и офис > Аренда и коммуналка,3,"Cost article - Аренда и коммуналка, Venue and office costs",,,,
Расходы,Постоянные,Сервисы и их настройка,Постоянные > Сервисы и их настройка,2,Services and setup costs,,,,
Расходы,Сервисы и их настройка,КОМИССИИ БАНКОВ,Постоянные > Сервисы и их настройка > КОМИССИИ БАНКОВ,3,"Cost article - КОМИССИИ БАНКОВ, Services and setup costs",,,,
Расходы,Сервисы и их настройка,Отсмотр видео,Постоянные > Сервисы и их настройка > Отсмотр видео,3,"Cost article - Отсмотр видео, Services and setup costs",,,,
Расходы,Постоянные,Командировочные,Постоянные > Командировочные,2,"candidate_new_rollup: Business travel costs",,,,
Расходы,Командировочные,Транспорт,Постоянные > Командировочные > Транспорт,3,"Cost article - Транспорт, Logistics costs",,,,
Расходы,Командировочные,Проживание,Постоянные > Командировочные > Проживание,3,"Cost article - Проживание, Logistics costs",,,,
Расходы,Постоянные,Прочие расходы,Постоянные > Прочие расходы,2,Other expenses,,,,
Расходы,Прочие расходы,Курсовая разница (-),Постоянные > Прочие расходы > Курсовая разница (-),3,"Cost article - Курсовая разница (-), Other expenses",,,,
Расходы,Прочие расходы,Амортизация,Постоянные > Прочие расходы > Амортизация,3,"Cost article - Амортизация, Other expenses",,,,
Расходы,Прочие расходы,Проценты по кредитам и займам,Постоянные > Прочие расходы > Проценты по кредитам и займам,3,"Cost article - Проценты по кредитам и займам, Other expenses",,,,
Расходы,Прочие расходы,Налог на прибыль (доходы),Постоянные > Прочие расходы > Налог на прибыль (доходы),3,"Cost article - Налог на прибыль (доходы), Taxes and contributions",,,,
