section;parent_category;category_name;category_path;level;codex_initial_guess;business_unit;marketing_channel;upd_layer;upd_canonical_metric;upd_action;upd_note
Расходы;ФОТ - Переменные;IT ФОТ;Переменные > ФОТ - Переменные > IT ФОТ;3;Cost article - IT ФОТ, Costs - Salary variable;general;;;Cost article - IT ФОТ;;
Расходы;ФОТ - Переменные;Актёры ФОТ;Переменные > ФОТ - Переменные > Актёры ФОТ;3;Costs - Salary variable, Cost article - Актёры ФОТ;;;;Cost article - Актёры ФОТ;;
Расходы;Переменные;ПРЕМИИ 2025;Переменные > ПРЕМИИ 2025;2;Annual bonuses;;;;Yearly Bonuses;;
Расходы;ПРЕМИИ 2025;Премии управленч персонал;Переменные > ПРЕМИИ 2025 > Премии управленч персонал;3;Cost article - Премии управленч персонал, Annual bonuses;;;;Cost article - Премии управленч персонал;;
Расходы;ПРЕМИИ 2025;Премии административный персонал;Переменные > ПРЕМИИ 2025 > Премии административный персонал;3;Cost article - Премии административный персонал, Annual bonuses;;;;Cost article - Премии административный персонал;;
Расходы;ПРЕМИИ 2025;Премии актёры;Переменные > ПРЕМИИ 2025 > Премии актёры;3;Cost article - Премии актёры, Annual bonuses;;;;Cost article - Премии актёры;;
Расходы;Переменные;Корпоративы ЗП проектные;Переменные > Корпоративы ЗП проектные;2;Cost article - Корпоративы ЗП проектные, Salary costs;b2b;;;Costs - Salary variable;;
Расходы;Переменные;Страховые взносы;Переменные > Страховые взносы;2;Cost article - Страховые взносы, Taxes and contributions;;;;Taxes and Contributions > Cost article - Страховые взносы;;
Расходы;Переменные;Комиссия;Переменные > Комиссия;2;Cost article - Комиссия;;;;Cost article - Комиссия;;
Расходы;Переменные;Другое;Переменные > Другое;2;Cost article - Другое, Other expenses;;;;Other expenses > Cost article - Другое;;
Расходы;Переменные;Расходы на B2B (продакшн);Переменные > Расходы на B2B (продакшн);2;Cost article - Расходы на B2B (продакшн),;b2b;;;Show production costs;;
Расходы;Переменные;Возвраты;Переменные > Возвраты;2;Returns amount;;;;Returns amount;;
Расходы;Переменные;Для спектаклей;Переменные > Для спектаклей;2;Show production costs;b2c;;;Show production costs - Roll up for lower categories;;
Расходы;Для спектаклей;Тех оснащение;Переменные > Для спектаклей > Тех оснащение;3;Cost article - Тех оснащение, Show production costs;;;;Cost article - Тех оснащение;;
Расходы;Для спектаклей;Реквизит/костюмы;Переменные > Для спектаклей > Реквизит/костюмы;3;Cost article - Реквизит/костюмы, Show production costs;;;;Cost article - Реквизит/костюмы;;
Расходы;Переменные;Маркетинг и реклама;Переменные > Маркетинг и реклама;2;Marketing costs;general;;;Marketing costs - Roll up for lower categories;;
Расходы;Маркетинг и реклама;Маркетинг и реклама - Услуги типографии;Переменные > Маркетинг и реклама > Маркетинг и реклама - Услуги типографии;3;Cost article - Услуги типографии, Marketing costs;;pos;;Marketing costs;;
Расходы;Маркетинг и реклама;Маркетинг и реклама - Общее;Переменные > Маркетинг и реклама > Маркетинг и реклама - Общее;3;Marketing costs;;other;;Marketing costs;;
Расходы;Маркетинг и реклама;Маркетинг и реклама - PR и отзывы;Переменные > Маркетинг и реклама > Маркетинг и реклама - PR и отзывы;3;Marketing costs;;pr;;Marketing costs;;
Расходы;Маркетинг и реклама;Маркетинг и реклама - SMM;Переменные > Маркетинг и реклама > Маркетинг и реклама - SMM;3;Marketing costs;;smm;;Marketing costs;;
Расходы;Маркетинг и реклама;Маркетинг и реклама - Директ;Переменные > Маркетинг и реклама > Маркетинг и реклама - Директ;3;Marketing costs;;direct;;Marketing costs;;
Расходы;Маркетинг и реклама;Маркетинг и реклама - Агентские;Переменные > Маркетинг и реклама > Маркетинг и реклама - Агентские;3;Cost article - Агентские, Marketing costs;;agencies;;Marketing costs;;
Расходы;Переменные;Командные;Переменные > Командные;2;candidate_new_rollup: Team expenses;;;;candidate_new_rollup: Team expenses;;
Расходы;Командные;Представительские;Переменные > Командные > Представительские;3;Cost article - Представительские, Other expenses;;;;Cost article - Представительские;;
Расходы;Переменные;Логистика;Переменные > Логистика;2;Logistics costs;;;;Roll up for lower categories;;
Расходы;Логистика;Такси;Переменные > Логистика > Такси;3;Cost article - Такси, Logistics costs;;;;Cost article - Такси;;
Расходы;Логистика;Доставка;Переменные > Логистика > Доставка;3;Cost article - Доставка, Logistics costs;;;;Cost article - Доставка;;
Расходы;Переменные;Разные налоги и взносы;Переменные > Разные налоги и взносы;2;Taxes and contributions;;;;Taxes and contributions > Cost article - Разные налоги и взносы;;
Расходы;;Постоянные;Постоянные;1;candidate_new_rollup: Fixed costs;;;;candidate_new_rollup: Fixed costs;;
Расходы;Постоянные;ФОТ - Постоянные;Постоянные > ФОТ - Постоянные;2;Costs - Salary fixed;;;;Costs - Salary fixed - roll up;;
Расходы;ФОТ - Постоянные;Управленческий персонал ФОТ;Постоянные > ФОТ - Постоянные > Управленческий персонал ФОТ;3;Cost article - Управленческий персонал ФОТ, Costs - Salary fixed;;;;Costs - Salary fixed > Cost article - Управленческий персонал ФОТ;;
Расходы;ФОТ - Постоянные;Административный персонал ФОТ;Постоянные > ФОТ - Постоянные > Административный персонал ФОТ;3;Cost article - Административный персонал ФОТ, Costs - Salary fixed;;;;Costs - Salary fixed > Cost article - Адмнистративный персонал ФОТ;;
Расходы;ФОТ - Постоянные;Корпоративы фикс;Постоянные > ФОТ - Постоянные > Корпоративы фикс;3;Cost article - Корпоративы фикс, Costs - Salary fixed;b2b;;;Costs - Salary fixed;;
Расходы;Постоянные;Помещение и офис;Постоянные > Помещение и офис;2;Venue and office costs;;;;Venue and office costs - Roll up;;
Расходы;Помещение и офис;Уборка;Постоянные > Помещение и офис > Уборка;3;Cost article - Уборка, Venue and office costs;;;;Cost article - Уборка;;
Расходы;Помещение и офис;Мебель и предметы интерьера;Постоянные > Помещение и офис > Мебель и предметы интерьера;3;Cost article - Мебель и предметы интерьера, Venue and office costs;;;;Cost article - Мебель и предметы интерьера;;
Расходы;Помещение и офис;Ремонт и обслуживание;Постоянные > Помещение и офис > Ремонт и обслуживание;3;Cost article - Ремонт и обслуживание, Venue and office costs;;;;Cost article - Ремонт и обслуживание;;
Расходы;Помещение и офис;Расходники (офисные);Постоянные > Помещение и офис > Расходники (офисные);3;Cost article - Расходники (офисные), Venue and office costs;;;;Cost article - Расходники (офисные);;
Расходы;Помещение и офис;Ежемесячные счета;Постоянные > Помещение и офис > Ежемесячные счета;3;Cost article - Ежемесячные счета, Venue and office costs;;;;Cost article - Ежемесячные счета;;
Расходы;Помещение и офис;Аренда и коммуналка;Постоянные > Помещение и офис > Аренда и коммуналка;3;Cost article - Аренда и коммуналка, Venue and office costs;;;;Cost article - Аренда и коммуналка;;
Расходы;Постоянные;Сервисы и их настройка;Постоянные > Сервисы и их настройка;2;Services and setup costs;;;;Services and setup costs - Roll up;;
Расходы;Сервисы и их настройка;КОМИССИИ БАНКОВ;Постоянные > Сервисы и их настройка > КОМИССИИ БАНКОВ;3;Cost article - КОМИССИИ БАНКОВ, Services and setup costs;;;;Cost article - КОМИССИИ БАНКОВ;;
Расходы;Сервисы и их настройка;Отсмотр видео;Постоянные > Сервисы и их настройка > Отсмотр видео;3;Cost article - Отсмотр видео, Services and setup costs;;;;Cost article - Отсмотр видео;;
Расходы;Постоянные;Командировочные;Постоянные > Командировочные;2;candidate_new_rollup: Business travel costs;;;;candidate_new_rollup: Business travel costs;;
Расходы;Командировочные;Транспорт;Постоянные > Командировочные > Транспорт;3;Cost article - Транспорт, Logistics costs;;;;Cost article - Транспорт;;
Расходы;Командировочные;Проживание;Постоянные > Командировочные > Проживание;3;Cost article - Проживание, Logistics costs;;;;Cost article - Проживание;;
Расходы;Постоянные;Прочие расходы;Постоянные > Прочие расходы;2;Other expenses;;;;Other expenses - Roll up;;
Расходы;Прочие расходы;Курсовая разница (-);Постоянные > Прочие расходы > Курсовая разница (-);3;Cost article - Курсовая разница (-), Other expenses;;;;Other expenses > Cost article - Курсовая разница;;
Расходы;Прочие расходы;Амортизация;Постоянные > Прочие расходы > Амортизация;3;Cost article - Амортизация, Other expenses;;;;Other expenses > Cost article - Амортизация;;
Расходы;Прочие расходы;Проценты по кредитам и займам;Постоянные > Прочие расходы > Проценты по кредитам и займам;3;Cost article - Проценты по кредитам и займам, Other expenses;;;;Other expenses > Cost article - Проценты по кредитам и займам;;
Расходы;Прочие расходы;Налог на прибыль (доходы);Постоянные > Прочие расходы > Налог на прибыль (доходы);3;Cost article - Налог на прибыль (доходы), Taxes and contributions;;;;Taxes and contributions > Cost article - Налог на прибыль (доходы);;
