row_number,first_column,second_column,filled_cell_count,has_formula,formula_cells_count
90,Москва,Инстаграм_ведение,58,yes,2
91,Москва,Тик-Ток_ведение,6,no,0
92,Москва,Тик-Ток_бюджет,2,no,0
93,Москва,Youtube_ведение,5,no,0
94,Москва,Youtube_бюджет,5,no,0
95,Москва,"Размещение у блогеров, афишах, дзене, паблики_бюджет",40,yes,11
96,Москва,"Размещение у блогеров, афишах, дзене, паблики_ведение",6,no,0
97,Москва,PR,20,no,0
98,Москва,Кросс-промо / Интеграция в фестивали,12,yes,1
99,Москва,Рилс-мэйкинг,2,no,0
100,Франшиза,Продвижение франшизы,2,no,0
101,Москва,Прочие расходы на рекламу ,35,yes,17
102,Общее,Итого расходы на маркетинг,65,yes,63
103,Общее,% к марже,65,yes,63
104,Общее,% к выручке,65,yes,63
105,Общее,%з/п исполнителей в бюджете на маркетинг от всего маркетинга,53,yes,51
106,Москва,Постоянные расходы,2,no,0
107,Москва,Аренда помещения,65,yes,10
108,Москва,Электроэнергия,16,no,0
109,Москва,"ЗП  управляющего, администратора, второго дминистратора, креативного директора,  худрука, завхоз, корпорат менеджера",65,yes,35
110,Москва,ЗП директор фикс,63,yes,4
111,Общее,Разработка и IT,40,yes,11
112,Москва,Подарки,26,yes,3
113,Москва,Уборка помещения,65,yes,2
114,Москва,Ремонт помещения,26,yes,9
115,Москва,Хоз.расходы на помещение,65,yes,21
116,Москва,Расходы на проведение спектаклей,9,yes,1
117,Москва,Реквизит для проведения спектаклей,33,yes,14
118,Москва,Электронные  и бухгалтерские сервисы,65,yes,39
119,Общее,Итого постоянные расходы,65,yes,63
120,Общее,%постоянных расходов к выручке,53,yes,51
121,Общее,"Прибыль до выплаты акционерам,развития и % директора",65,yes,63
122,Общее,12% прибыли,39,yes,36
123,Общее,5 % прибыли,3,no,0
124,Общее,10 % прибыли,9,yes,7
125,Общее,% от выручки,14,yes,12
126,Москва,Зарплата на разработку шоу,23,yes,5
127,Москва,"Сайт, презентации, дизайн",23,yes,7
128,Москва,"Доработка софта, озвучка и пр",20,yes,11
129,Москва,Обучение,8,yes,2
130,Москва,Реквизит и оборудование,24,yes,10
131,Москва,Сценарии,13,yes,1
132,Москва,СRM,4,no,0
133,Москва,Реклама,5,yes,1
134,Москва,Оборудование и ремонт,25,yes,10
135,Москва,Европейская франшиза,3,yes,1
136,Москва,"Итого, расходы инвестиции Москва",64,yes,57
137,Москва,% инвестиций от выручки,52,yes,50
138,Спб,Инвестии в Петербург,13,yes,3
139,Спб,МОРФЕУС САНКТ-ПЕТЕРБУРГ,2,no,0
140,Спб,Проведено шоу,13,no,0
141,Спб,Гостей,13,no,0
142,Спб,Среднее количество гостей,13,yes,11
143,Спб,%заполняемости,13,yes,11
144,Спб,Проведено СД,3,no,0
145,Спб,Гостей,3,no,0
146,Спб,Среднее количество гостей,3,yes,1
147,Спб,%заполняемости,3,yes,1
148,Спб,Реализация шоу,13,no,0
149,Спб,Реализация СД,3,no,0
150,Спб,Выручка_сертификаты,13,yes,1
151,Спб,Выручка_сертификаты с понижающем кэфом,13,yes,11
152,Спб,% отнесения на выручку,13,no,0
153,Спб,Спецпроекты_корпоративы,3,no,0
154,Спб,Расчетная выручка периода (по реализации),13,yes,11
155,Спб,Переменные расходы,2,no,0
156,Спб,ЗП актеров по начислению,13,no,0
157,Спб,% ФОТ в выручке ШОУ,13,yes,11
158,Спб,Зарплаты на 1 шоу,13,yes,11
159,Спб,ЗП СД,3,no,0
160,Спб,% ФОТ в выручке CД,3,yes,1
161,Спб,Зарплаты на 1 шоу,3,yes,1
162,Спб,Митя_Бонус СД,5,no,0
163,Спб,Комиссии платежных систем,12,yes,10
164,Спб,Комиссии платежных систем (агрегаторы),13,yes,9
165,Спб,Комиссии платежных систем (агрегаторы_ДТЗК),13,yes,9
166,Спб,Налог6%,13,yes,11
167,Спб,Налог страховые взносы,2,no,0
168,Спб,Возвраты,8,yes,1
169,Спб,Логистика (командировки Москвы в Питер),12,yes,2
170,Спб,Прочие расходы,9,yes,1
171,Спб,Общие расходы спецпроекты_корпоративы,3,no,0
172,Спб,Итого переменные расходы,13,yes,11
173,Спб,Маржинальный доход,12,yes,10
174,Спб,% переменных расходов к выручке,12,yes,10
175,Спб,Маркетинг  ,2,no,0
176,Спб,Контекстная реклама_ведение_ритейл,13,no,0
177,Спб,Контекст_бюджет_ритейл,13,no,0
178,Спб,Инстаграм_ведение,2,no,0
179,Спб,"Размещение у блогеров, афишах, дзене, паблики",13,yes,2
180,Спб,PR,2,no,0
181,Спб,Кросс-промо и  SEO,6,no,0
182,Спб,Прочие расходы на рекламу ,10,yes,1
183,Спб,Итого расходы на маркетинг,13,yes,11
184,Спб,% к марже,12,yes,10
185,Спб,% к выручке,12,yes,10
186,Спб,%з/п исполнителей в бюджете на маркетинг от всего маркетинга,12,yes,10
187,Спб,Постоянные расходы,2,no,0
188,Спб,Аренда помещения и коммуналка,13,yes,4
189,Спб,"ЗП  худрука, админов  и ХПЧ",13,no,0
190,Спб,ЗП директор фикс,2,no,0
191,Спб,Разработка и IT,2,no,0
192,Спб,Подарки,12,yes,1
193,Спб,Уборка помещения,13,yes,1
194,Спб,Ремонт помещения,13,yes,4
195,Спб,Хоз.расходы на помещение,11,yes,4
196,Спб,Расходы на проведение спектаклей,10,yes,1
197,Спб,Реквизит для проведения спектаклей,11,yes,2
198,Спб,Электронные  и бухгалтерские сервисы,13,yes,4
199,Спб,Итого постоянные расходы,13,yes,11
200,Спб,%постоянных расходов к выручке,12,yes,10
201,Спб,"Прибыль до выплаты акционерам,развития и % директора",13,yes,11
202,Спб,ИТОГОВАЯ ПРИБЫЛЬ ПО НАПРАВЛЕНИЯМ,2,no,0
203,Москва,Прибыль_театр Москва,39,yes,31
204,Спб,Прибыль_театр Петербург,13,yes,11
205,Франшиза,Прибыль_франшиза,23,yes,20
206,Франшиза,Прибыль_Китай,8,yes,6
207,B2B,Прибыль_корпоратив Москва,21,yes,19
208,B2B,Прибыль_корпоратив Петербург,3,yes,1
209,B2B,Прибыль_корпоратив общая,3,yes,1
210,Общее,Общая прибыль,65,yes,63
211,Общее,Директорский процент,2,no,0
212,Москва,Театр Москва,13,yes,11
213,Спб,Театр Петербург,13,no,0
214,B2B,Корпоратив,13,yes,11
215,Франшиза,Франшиза ,10,yes,6
216,Франшиза,Китай,6,yes,1
217,Общее,"Итого, процент директора",13,yes,11
218,,Годовые бонусы,1,no,0
219,Общее,Прибыль для основателей,65,yes,63
220,Общее,Рентабельность общая после выплаты основателям:,53,yes,51
221,Франшиза,Прибыль от европейской франшизы,3,no,0
222,Общее,Снятие наличных/перевод на карту для ПСН,18,yes,3
223,Общее,Комиссия за снятие наличных / налоги на ИП,28,yes,10
224,Общее,"Входящий остаток на начало периода,  1 число месяца",32,no,0
225,Общее,"Входящий остаток на конец периода, 1 число месяца",32,yes,1
226,Общее,Сальдо,29,yes,27
227,Общее,Вывод для ПСН (депозитный счет):,13,yes,1
228,,дата вывода,21,no,0
229,,,23,no,0
230,,,9,no,0
231,,,4,no,0
232,,,1,no,0
233,,,1,no,0
234,,,1,no,0
235,,СУММА К ПЕРЕВОДУ ПСН ПО РЕЗУЛЬТАТАМ МЕСЯЦА,28,yes,27
236,,СУММА К ПЕРЕВОДУ НАКОПИТЕЛЬНЫМ ИТОГОМ ЗА ГОД,28,yes,26
237,,ГОДОВЫЕ БОНУСЫ,1,no,0
238,,СУММА ПЕРЕВЕДЕННАЯ ПО ИТОГУ МЕСЯЦА,27,yes,14
239,,СУММА ПЕРЕВЕДЕННАЯ НАКОПИТЕЛЬНЫМ ИТОГОМ ЗА ГОД,28,yes,25
240,,Сальдо,27,yes,26
241,,Отложено на депозит по итогу месяца,3,no,0
242,,Отложено на депозит накопительным итогом за год,3,yes,1
243,,Сальдо с учетом депозита,4,yes,3
244,,Дополнительно,3,no,0
245,,,0,no,0
246,,,0,no,0
247,,Процент выполнения годового плана,1,no,0
248,,Театр Москва,25,yes,24
249,,Театр Москва накопительным итогом,25,yes,24
250,,Театр Петербург,8,yes,7
251,,Театр Петербург накопительным итогом,7,yes,6
252,,Франшиза (без учета Китая и Чехии),13,yes,12
253,,Франшиза накопительным итогом,13,yes,12
254,,Корпоратив,25,yes,22
255,,Корпоратив накопительным итогом,25,yes,23
