sheet_unit,period_start,period_end,row_number,col_a,col_b,ingestion_action,target_metric_or_metrics,source_system_override,status,reason,business_unit,show_name,partner_name,channel_name,source_cell_a1,source_cell_url,value_numeric
b2c_moscow,2026-05-18,2026-05-24,21,билеты сд,тикетленд,map_to_metric,Number of tickets,,inserted,,b2c_moscow,,тикетлэнд,,LD21,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=weekly_b2c_moscow!LD21,0
b2c_moscow,2026-05-18,2026-05-24,22,Сертификаты (продажи),Сертификаты (продажи),map_to_metric,Revenue,,inserted,,b2c_moscow,сертификаты,,,LD22,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=weekly_b2c_moscow!LD22,101235
b2c_moscow,2026-05-18,2026-05-24,23,Сертификаты (продажи),сертификаты электронные,map_to_metric,Revenue,,inserted,,b2c_moscow,сертификаты,,,LD23,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=weekly_b2c_moscow!LD23,72864
b2c_moscow,2026-05-18,2026-05-24,24,Сертификаты (продажи),сертификаты бумажные,map_to_metric,Revenue,,inserted,,b2c_moscow,сертификаты,,,LD24,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=weekly_b2c_moscow!LD24,28371
b2c_moscow,2026-05-18,2026-05-24,25,Сертификаты (продажи),сертификаты через партнеров,map_to_metric,Revenue,,inserted,,b2c_moscow,сертификаты,others,,LD25,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=weekly_b2c_moscow!LD25,0
b2c_moscow,2026-05-18,2026-05-24,26,Сертификаты (продажи),доля сертификатов в выручке,defer_to_calculated,,,skipped,not_map_to_metric,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,27,Спецпоказы (продажи) юкасса\по счету,Спецпоказы (продажи) юкасса\по счету,map_to_metric,Revenue - Other,,inserted,,b2c_moscow,,,,LD27,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=weekly_b2c_moscow!LD27,0
b2c_moscow,2026-05-18,2026-05-24,28,Другое юкасса,Другое юкасса,map_to_metric,Revenue - Other,,inserted,,b2c_moscow,,,,LD28,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=weekly_b2c_moscow!LD28,23546
b2c_moscow,2026-05-18,2026-05-24,29,корпоратив,корпоратив,exclude,,,skipped,not_map_to_metric,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,30,Сертификаты и билеты (бесплатные),Сертификаты и билеты (бесплатные),map_to_metric,Number of free certificates and tickets,,inserted,,b2c_moscow,,,,LD30,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=weekly_b2c_moscow!LD30,63400
b2c_moscow,2026-05-18,2026-05-24,31,Франшиза,Франшиза,map_to_metric,Revenue,,inserted,,b2c_moscow,,,,LD31,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=weekly_b2c_moscow!LD31,10000
b2c_moscow,2026-05-18,2026-05-24,32,Средств на счете,Средств на счете,map_to_metric,Account balance,,inserted,,b2c_moscow,,,,LD32,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=weekly_b2c_moscow!LD32,3928333.96
b2c_moscow,2026-05-18,2026-05-24,33,Приход с депозита,Приход с депозита,map_to_metric,Revenue - Financial operations,,inserted,,b2c_moscow,,,,LD33,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=weekly_b2c_moscow!LD33,4035.62
b2c_moscow,2026-05-18,2026-05-24,34,Сумма возвратов,Сумма возвратов,map_to_metric,Returns amount,,inserted,,b2c_moscow,,,,LD34,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=weekly_b2c_moscow!LD34,0
b2c_moscow,2026-05-18,2026-05-24,35,Сумма возвратов,По вине театра,map_to_metric,Returns amount - theater fault,,inserted,,b2c_moscow,,,,LD35,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=weekly_b2c_moscow!LD35,0
b2c_moscow,2026-05-18,2026-05-24,36,Сумма возвратов,НЕ по вине театра,map_to_metric,Returns amount - non-theater fault,,inserted,,b2c_moscow,,,,LD36,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=weekly_b2c_moscow!LD36,0
b2c_moscow,2026-05-18,2026-05-24,37,Сумма возвратов,% возвратов от выручки,defer_to_calculated,,,skipped,not_map_to_metric,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,38,Всего билетов (выкуплено через сайт и все агрегаторы),Всего билетов (выкуплено через сайт и все агрегаторы),map_to_metric,Number of tickets,,inserted,,b2c_moscow,,,,LD38,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=weekly_b2c_moscow!LD38,0.00
b2c_moscow,2026-05-18,2026-05-24,39,Теракт-Возвраты,Теракт-Возвраты,exclude,,,skipped,not_map_to_metric,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,40,Теракт - Оформлено сертификатами,Теракт - Оформлено сертификатами,exclude,,,skipped,not_map_to_metric,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,41,Проведено шоу (БЕЗ СД),Проведено шоу (БЕЗ СД),map_to_metric,Number of shows,,skipped,missing_staging_row,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,42,Отменено шоу (не СД),Отменено шоу (не СД),map_to_metric,Number of shows cancelled,,inserted,,b2c_moscow,,,,LD42,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=weekly_b2c_moscow!LD42,37
b2c_moscow,2026-05-18,2026-05-24,43,Отменено шоу (не СД),"Кол-во, где не выкуплены билеты",map_to_metric,Number of cancelled non-SD shows - no tickets sold,,inserted,,b2c_moscow,,,,LD43,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=weekly_b2c_moscow!LD43,13
b2c_moscow,2026-05-18,2026-05-24,44,Отменено шоу (не СД),Кол-во из-за спецпоказов,map_to_metric,Number of cancelled non-SD shows - special shows,,inserted,,b2c_moscow,,,,LD44,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=weekly_b2c_moscow!LD44,13
b2c_moscow,2026-05-18,2026-05-24,45,Отменено шоу (не СД),Кол-во из-за дефицита актёров/ мастеров,map_to_metric,Number of cancelled non-SD shows - actor/master shortage,,inserted,,b2c_moscow,,,,LD45,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=weekly_b2c_moscow!LD45,0
b2c_moscow,2026-05-18,2026-05-24,46,Проведено СД,Проведено СД,map_to_metric,Number of shows,,inserted,,b2c_moscow,,,,LD46,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=weekly_b2c_moscow!LD46,0
b2c_moscow,2026-05-18,2026-05-24,47,Отменено СД,Отменено СД,map_to_metric,Number of shows cancelled,,inserted,,b2c_moscow,,,,LD47,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=weekly_b2c_moscow!LD47,4
b2c_moscow,2026-05-18,2026-05-24,48,Отменено СД,"Кол-во, где не выкуплены билеты",map_to_metric,Number of cancelled SD shows - no tickets sold,,inserted,,b2c_moscow,,,,LD48,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=weekly_b2c_moscow!LD48,1
b2c_moscow,2026-05-18,2026-05-24,49,Отменено СД,Кол-во из-за спецпоказов,map_to_metric,Number of cancelled SD shows - special shows,,inserted,,b2c_moscow,,,,LD49,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=weekly_b2c_moscow!LD49,0
b2c_moscow,2026-05-18,2026-05-24,50,Отменено СД,Кол-во из-за дефицита актёров/ мастеров,map_to_metric,Number of cancelled SD shows - actor/master shortage,,inserted,,b2c_moscow,,,,LD50,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=weekly_b2c_moscow!LD50,0
b2c_moscow,2026-05-18,2026-05-24,51,Зрители дошедшие (без зрителей СД),Зрители дошедшие (без зрителей СД),map_to_metric,Number of show visitors,,inserted,,b2c_moscow,,,,LD51,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=weekly_b2c_moscow!LD51,0
b2c_moscow,2026-05-18,2026-05-24,52,Зрители дошедшие СД,Зрители дошедшие СД,map_to_metric,Number of show visitors,,inserted,,b2c_moscow,,,,LD52,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=weekly_b2c_moscow!LD52,138
b2c_moscow,2026-05-18,2026-05-24,53,Зрители по сертификатам,Зрители по сертификатам,map_to_metric,Number of certificate visitors,,inserted,,b2c_moscow,,,,LD53,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=weekly_b2c_moscow!LD53,41
b2c_moscow,2026-05-18,2026-05-24,54,Сложность составления расписания (1 min-5max),Сложность составления расписания (1 min-5max),map_to_metric,Scheduling complexity,,skipped,missing_staging_row,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,55,Средняя загрузка шоу (по факту дошедшие зрители),Средняя загрузка шоу (по факту дошедшие зрители),defer_to_calculated,,,skipped,not_map_to_metric,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,56,Средняя загрузка шоу (выкупленные билеты),Средняя загрузка шоу (выкупленные билеты),defer_to_calculated,,,skipped,not_map_to_metric,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,57,Средняя загрузка СД (по факту дошедшие зрители),Средняя загрузка СД (по факту дошедшие зрители),defer_to_calculated,,,skipped,not_map_to_metric,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,58,Средняя загрузка СД (выкупленные билеты),Средняя загрузка СД (выкупленные билеты),defer_to_calculated,,,skipped,not_map_to_metric,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,59,Маркетинг,Маркетинг,decompose_block,,,skipped,not_map_to_metric,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,60,Маркетинг Каналы,Таргет c НДС_VK,map_to_metric,Marketing costs,,skipped,missing_staging_row,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,61,Маркетинг Каналы,Таргет с НДС_MT,map_to_metric,Marketing costs,,skipped,missing_staging_row,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,62,Маркетинг Каналы,Таргет с НДС_FB,map_to_metric,Marketing costs,,skipped,missing_staging_row,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,63,Маркетинг Каналы,Ведение_таргет,map_to_metric,Marketing costs,,skipped,missing_staging_row,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,64,Маркетинг Каналы,Youtube ведение,map_to_metric,Marketing costs,,skipped,missing_staging_row,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,65,Маркетинг Каналы,Youtube бюджет,map_to_metric,Marketing costs,,skipped,missing_staging_row,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,66,Маркетинг Каналы,Таргет_бюджет с НДС,map_to_metric,Marketing costs,,skipped,missing_staging_row,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,67,Маркетинг Каналы,Контекст_бюджет с НДС_Яндекс,map_to_metric,Marketing costs,,skipped,missing_staging_row,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,68,Маркетинг Каналы,Контекст_ведение_Яндекс,map_to_metric,Marketing costs,,skipped,missing_staging_row,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,69,Маркетинг Каналы,Контекст_бюджет с НДС_Гугл,map_to_metric,Marketing costs,,skipped,missing_staging_row,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,70,Маркетинг Каналы,Контекст_ведение_Гугл,map_to_metric,Marketing costs,,skipped,missing_staging_row,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,71,Маркетинг Каналы,Пиар,map_to_metric,Marketing costs,,skipped,missing_staging_row,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,72,Маркетинг Каналы,Прочие затраты,map_to_metric,Marketing costs,,skipped,missing_staging_row,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,73,Маркетинг Каналы,Общие затраты,map_to_metric,Marketing costs,,skipped,missing_staging_row,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,74,Маркетинг Каналы,% общ. к выручке,defer_to_calculated,,,skipped,not_map_to_metric,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,75,,,,,,skipped,not_map_to_metric,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,76,САЙТ,САЙТ,decompose_block,Website visits; Number of orders; Number of tickets; Revenue,,skipped,not_map_to_metric,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,77,САЙТ,cеансы (морфеус) ВИЗИТЫ БЕЗ corporative,map_to_metric,Website visits,,skipped,missing_staging_row,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,78,САЙТ,заказов всего (Я.билеты),map_to_metric,Number of orders,,inserted,,b2c_moscow,,,,LD78,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=weekly_b2c_moscow!LD78,4171
b2c_moscow,2026-05-18,2026-05-24,79,САЙТ,билетов всего (Я.билеты),map_to_metric,Number of tickets,,inserted,,b2c_moscow,,,,LD79,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=weekly_b2c_moscow!LD79,57
b2c_moscow,2026-05-18,2026-05-24,80,САЙТ,"конверсия в заказ,%",defer_to_calculated,,,skipped,not_map_to_metric,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,81,САЙТ,"конверсия в билет из сеанса, %",defer_to_calculated,,,skipped,not_map_to_metric,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,82,САЙТ,сеансы corporative ВИЗИТЫ,map_to_metric,Website visits,,skipped,b2b_website_visits_use_yandex_metrica,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,83,САЙТ,визиты(immersivny),map_to_metric,Website visits,,skipped,missing_staging_row,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,84,САЙТ,кол-во покупок immersviny (промокоды),map_to_metric,Number of orders,,inserted,,b2c_moscow,,,,LD84,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=weekly_b2c_moscow!LD84,427
b2c_moscow,2026-05-18,2026-05-24,85,САЙТ,покупок в деньгах immersivny,map_to_metric,Revenue,,skipped,missing_staging_row,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,86,САЙТ,покупок сервисы корп. привилегий,map_to_metric,Number of orders,,skipped,missing_staging_row,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,87,САЙТ,покупок в деньгах сервисы корп.привилегий,map_to_metric,Revenue,,skipped,missing_staging_row,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,88,,,,,,skipped,not_map_to_metric,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,89,ФРАНШИЗА,ФРАНШИЗА,decompose_block,Revenue; Number of leads; Quality - External,,skipped,not_map_to_metric,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,90,ФРАНШИЗА,Кол-во заявок всего,map_to_metric,Number of leads,,skipped,missing_staging_row,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,91,ФРАНШИЗА,"Кол-во завок_ ""качественные""",exclude,Number of leads,,skipped,not_map_to_metric,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,92,ФРАНШИЗА,"Кол-во заявок_""левые""",exclude,Number of leads,,skipped,not_map_to_metric,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,93,,,,,,skipped,not_map_to_metric,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,94,КОРПОРАТИВЫ,КОРПОРАТИВЫ,decompose_block,Number of leads; Number of creative meetings,,skipped,not_map_to_metric,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,95,КОРПОРАТИВЫ,Кол-во новых заявок,map_to_metric,Number of leads,,skipped,missing_staging_row,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,96,КОРПОРАТИВЫ,В работе сейчас,defer_to_calculated,,,skipped,not_map_to_metric,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,97,,,,,,skipped,not_map_to_metric,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,98,ОТЗЫВЫ,ОТЗЫВЫ,decompose_block,Quality - External,,skipped,not_map_to_metric,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,99,ОТЗЫВЫ,Кол-во новых на Яндекс-картах (всего),map_to_metric,Number of new Yandex Maps reviews,,skipped,missing_staging_row,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,100,ОТЗЫВЫ,Из них настоящих,map_to_metric,Number of genuine reviews,,inserted,,b2c_moscow,,,,LD100,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=weekly_b2c_moscow!LD100,1
b2c_moscow,2026-05-18,2026-05-24,101,ОТЗЫВЫ,Из них ненастоящих,map_to_metric,Number of non-genuine reviews,,inserted,,b2c_moscow,,,,LD101,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=weekly_b2c_moscow!LD101,1
b2c_moscow,2026-05-18,2026-05-24,102,ОТЗЫВЫ,Средняя оценка по отзывам за неделю (общая),defer_to_calculated,,,skipped,not_map_to_metric,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,103,ОТЗЫВЫ,Средняя оценка по отзывам за неделю (по настоящим),defer_to_calculated,,,skipped,not_map_to_metric,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,104,ОТЗЫВЫ,Процент негативных (от посетивших),defer_to_calculated,,,skipped,not_map_to_metric,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,105,ОТЗЫВЫ,Ликвидировано негативных,map_to_metric,Number of resolved negative reviews,,inserted,,b2c_moscow,,,,LD105,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=weekly_b2c_moscow!LD105,0.00
b2c_moscow,2026-05-18,2026-05-24,106,ОТЗЫВЫ,"Средняя оценка за неделю без негативных, если ликвидировали (общая)",defer_to_calculated,,,skipped,not_map_to_metric,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,107,ОТЗЫВЫ,Средняя общая,defer_to_calculated,,,skipped,not_map_to_metric,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,108,ОЦЕНКИ НА ПЛАНШЕТЕ,ОЦЕНКИ НА ПЛАНШЕТЕ,decompose_block,Quality - Internal,,skipped,not_map_to_metric,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,109,ОЦЕНКИ НА ПЛАНШЕТЕ,Процент заполнивших от всех зрителей,defer_to_calculated,Quality - Internal,erp,skipped,not_map_to_metric,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,110,ОЦЕНКИ НА ПЛАНШЕТЕ,Средняя оценка,defer_to_calculated,Quality - Internal,erp,skipped,not_map_to_metric,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,111,ОЦЕНКИ НА ПЛАНШЕТЕ,Ответ Гиппократа,defer_to_calculated,Quality - Internal,erp,skipped,not_map_to_metric,,,,,,,
b2c_moscow,2026-05-18,2026-05-24,112,ОЦЕНКИ НА ПЛАНШЕТЕ,22’07,defer_to_calculated,Quality - Internal,erp,skipped,not_map_to_metric,,,,,,,
